Model,Feature_Subset,Feature_Label,Channel_Config,Class_Type,Month,Accuracy,F1_Macro,Kappa,MAE,N,N_Features,Group
SVM,A1_RS,Rescaled Range,All-16,3class,Mixto,0.3522076171216717,0.3390833811760758,0.08059953966889444,17.226154364678127,2967,1,A
kNN,A1_RS,Rescaled Range,All-16,3class,Mixto,0.37276710481968317,0.3458252874643672,0.061004096722791945,16.973373778227167,2967,1,A
RandomForest,A1_RS,Rescaled Range,All-16,3class,Mixto,0.3741152679474216,0.3376870833234947,0.028487058558416378,17.273340074148972,2967,1,A
NaiveBayes,A1_RS,Rescaled Range,All-16,3class,Mixto,0.3083923154701719,0.30296936354476084,0.07554374563454702,17.880013481631277,2967,1,A
LogisticRegression,A1_RS,Rescaled Range,All-16,3class,Mixto,0.3232221098752949,0.3154966213381782,0.05405149217366789,18.328277721604316,2967,1,A
MLP,A1_RS,Rescaled Range,All-16,3class,Mixto,0.3279406808223795,0.3228373223765022,0.07966768341627872,17.735085945399394,2967,1,A
DecisionTree,A1_RS,Rescaled Range,All-16,3class,Mixto,0.367711493090664,0.3412702521491143,0.04305312927285776,17.421638018200202,2967,1,A
SVM,A1_RS,Rescaled Range,All-16,2class,Mixto,0.5463342017119464,0.5459317017692629,0.09319703916487099,13.609973948641608,2687,1,A
kNN,A1_RS,Rescaled Range,All-16,2class,Mixto,0.5474506885001861,0.5423743816422685,0.09659645461487876,13.576479344994418,2687,1,A
RandomForest,A1_RS,Rescaled Range,All-16,2class,Mixto,0.5280982508373651,0.5280872046317073,0.0561874818210778,14.157052474879046,2687,1,A
NaiveBayes,A1_RS,Rescaled Range,All-16,2class,Mixto,0.5552660960178638,0.5530312426354099,0.11167262718422044,13.342017119464087,2687,1,A
LogisticRegression,A1_RS,Rescaled Range,All-16,2class,Mixto,0.5258652772608857,0.5237040586553221,0.05070539083094516,14.224041682173427,2687,1,A
MLP,A1_RS,Rescaled Range,All-16,2class,Mixto,0.5485671752884258,0.5472669102389103,0.09802795635662431,13.542984741347228,2687,1,A
DecisionTree,A1_RS,Rescaled Range,All-16,2class,Mixto,0.5288425753628582,0.5288393777216368,0.057712166573224755,14.134722739114254,2687,1,A
SVM,A2_Higuchi,Higuchi,All-16,3class,Mixto,0.412200876306033,0.37591563587885973,0.09947173814752275,16.215032018874282,2967,1,A
kNN,A2_Higuchi,Higuchi,All-16,3class,Mixto,0.3828783282777216,0.3503574671325338,0.055045247601597125,16.595888102460396,2967,1,A
RandomForest,A2_Higuchi,Higuchi,All-16,3class,Mixto,0.38928210313447925,0.3467544611462913,0.04531543083567402,16.862150320188743,2967,1,A
NaiveBayes,A2_Higuchi,Higuchi,All-16,3class,Mixto,0.4034378159757331,0.36642378753619725,0.09613536722195348,16.275699359622514,2967,1,A
LogisticRegression,A2_Higuchi,Higuchi,All-16,3class,Mixto,0.38119312436804853,0.36109120015278945,0.08522683382446683,16.65318503538928,2967,1,A
