Model,Feature_Subset,Class_Type,Month,Accuracy,F1,N
SVM,RS_only,3class,Mixto,0.5038759689922481,0.3524370349097656,2967
RandomForest,RS_only,3class,Mixto,0.43815301651499833,0.348979599715813,2967
LogisticRegression,RS_only,3class,Mixto,0.48870913380519043,0.34112490283106395,2967
kNN,RS_only,3class,Mixto,0.482979440512302,0.35071047250456533,2967
NaiveBayes,RS_only,3class,Mixto,0.5153353555780249,0.35914325180243917,2967
SVM,RS_only,2class,Mixto,0.5463342017119464,0.5459317017692629,2687
RandomForest,RS_only,2class,Mixto,0.5280982508373651,0.5280872046317073,2687
LogisticRegression,RS_only,2class,Mixto,0.5258652772608857,0.5237040586553221,2687
kNN,RS_only,2class,Mixto,0.5474506885001861,0.5423743816422685,2687
NaiveBayes,RS_only,2class,Mixto,0.5552660960178638,0.5530312426354099,2687
SVM,Higuchi_only,3class,Mixto,0.5099427030670711,0.3594038452083405,2967
RandomForest,Higuchi_only,3class,Mixto,0.4499494438827098,0.3576143924017517,2967
LogisticRegression,Higuchi_only,3class,Mixto,0.5011796427367712,0.35295416017940145,2967
kNN,Higuchi_only,3class,Mixto,0.49646107178968657,0.3795826716861311,2967
NaiveBayes,Higuchi_only,3class,Mixto,0.5032018874283788,0.3780219915077437,2967
SVM,Higuchi_only,2class,Mixto,0.5679196129512467,0.5651093155979671,2687
RandomForest,Higuchi_only,2class,Mixto,0.5254931149981392,0.5253658441295572,2687
LogisticRegression,Higuchi_only,2class,Mixto,0.5541496092296241,0.5539889333618571,2687
kNN,Higuchi_only,2class,Mixto,0.5366579828805359,0.5317172544053278,2687
NaiveBayes,Higuchi_only,2class,Mixto,0.5545217714923707,0.5514600069588889,2687
SVM,DFA_only,3class,Mixto,0.5099427030670711,0.35385379824460617,2967
RandomForest,DFA_only,3class,Mixto,0.4263565891472868,0.3373300275030781,2967
LogisticRegression,DFA_only,3class,Mixto,0.4974721941354904,0.3494212214146626,2967
kNN,DFA_only,3class,Mixto,0.47691270643747896,0.340243101892864,2967
NaiveBayes,DFA_only,3class,Mixto,0.4981462756993596,0.3484214553086981,2967
SVM,DFA_only,2class,Mixto,0.5489393375511723,0.5453422995992656,2687
RandomForest,DFA_only,2class,Mixto,0.5187941942687011,0.5187771314455298,2687
LogisticRegression,DFA_only,2class,Mixto,0.5422404168217343,0.5417818794067832,2687
