Month,Model,Params,Pooled_Accuracy,Patient_Accuracy_Mean,Patient_Accuracy_Std,Best_So_Far_Pool,Best_So_Far_Pat,Grid
Mes 3,SVM,"C=5, kernel=rbf, gamma=0.001, class_weight=None",0.7281818181818182,0.7281818181818182,0.10528984002848112,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=5, kernel=rbf, gamma=0.001, class_weight=balanced",0.7281818181818182,0.7281818181818182,0.10528984002848112,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=5, kernel=rbf, gamma=0.005, class_weight=None",0.8063636363636364,0.8063636363636363,0.06974570101387868,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=5, kernel=rbf, gamma=0.005, class_weight=balanced",0.8063636363636364,0.8063636363636363,0.06974570101387868,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=5, kernel=rbf, gamma=0.01, class_weight=None",0.8272727272727273,0.8272727272727274,0.07204222820421435,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=5, kernel=rbf, gamma=0.01, class_weight=balanced",0.8272727272727273,0.8272727272727274,0.07204222820421435,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=5, kernel=rbf, gamma=0.02, class_weight=None",0.8254545454545454,0.8254545454545454,0.06634495378370527,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=5, kernel=rbf, gamma=0.02, class_weight=balanced",0.8254545454545454,0.8254545454545454,0.06634495378370527,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=5, kernel=rbf, gamma=0.05, class_weight=None",0.8109090909090909,0.8109090909090909,0.07310131088354407,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=5, kernel=rbf, gamma=0.05, class_weight=balanced",0.8109090909090909,0.8109090909090909,0.07310131088354407,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=5, kernel=rbf, gamma=scale, class_weight=None",0.8245454545454546,0.8245454545454546,0.07097898653070232,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=5, kernel=rbf, gamma=scale, class_weight=balanced",0.8245454545454546,0.8245454545454546,0.07097898653070232,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=5, kernel=rbf, gamma=auto, class_weight=None",0.8245454545454546,0.8245454545454546,0.07097898653070232,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=5, kernel=rbf, gamma=auto, class_weight=balanced",0.8245454545454546,0.8245454545454546,0.07097898653070232,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=7, kernel=rbf, gamma=0.001, class_weight=None",0.7363636363636363,0.7363636363636363,0.09203843968780265,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=7, kernel=rbf, gamma=0.001, class_weight=balanced",0.7363636363636363,0.7363636363636363,0.09203843968780265,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=7, kernel=rbf, gamma=0.005, class_weight=None",0.8209090909090909,0.8209090909090909,0.05923758020961785,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=7, kernel=rbf, gamma=0.005, class_weight=balanced",0.8209090909090909,0.8209090909090909,0.05923758020961785,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=7, kernel=rbf, gamma=0.01, class_weight=None",0.8263636363636364,0.8263636363636364,0.06919848085085478,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=7, kernel=rbf, gamma=0.01, class_weight=balanced",0.8263636363636364,0.8263636363636364,0.06919848085085478,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=7, kernel=rbf, gamma=0.02, class_weight=None",0.8227272727272728,0.8227272727272726,0.07346219582122519,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=7, kernel=rbf, gamma=0.02, class_weight=balanced",0.8227272727272728,0.8227272727272726,0.07346219582122519,0.8245454545454546,0.8245454545454545,1
Mes 3,SVM,"C=7, kernel=rbf, gamma=0.05, class_weight=None",0.8145454545454546,0.8145454545454547,0.06799367982296418,0.8245454545454546,0.8245454545454545,1
