Model,Channel_Config,Feature_Subset,Class_Type,Accuracy,F1,N
SVM,Cz,Delta,3class,0.6672297297297297,0.7424392301203896,1184
RandomForest,Cz,Delta,3class,0.7018581081081081,0.7695312911344417,1184
LogReg,Cz,Delta,3class,0.6697635135135135,0.7443721750633889,1184
kNN,Cz,Delta,3class,0.668918918918919,0.7441703795569029,1184
NaiveBayes,Cz,Delta,3class,0.637668918918919,0.7194650834332922,1184
SVM,Cz,Delta,2class,0.635386119257087,0.633953453123606,1023
RandomForest,Cz,Delta,2class,0.6539589442815249,0.6537177280550774,1023
LogReg,Cz,Delta,2class,0.6304985337243402,0.6289067598172815,1023
kNN,Cz,Delta,2class,0.6295210166177908,0.6284075127971915,1023
NaiveBayes,Cz,Delta,2class,0.5835777126099707,0.5830322630027938,1023
SVM,Cz,Delta+Martinez,3class,0.6891891891891891,0.7591493608690646,1184
RandomForest,Cz,Delta+Martinez,3class,0.7069256756756757,0.7734859035285447,1184
LogReg,Cz,Delta+Martinez,3class,0.6756756756756757,0.7486775939503282,1184
kNN,Cz,Delta+Martinez,3class,0.6706081081081081,0.7453079515857208,1184
NaiveBayes,Cz,Delta+Martinez,3class,0.6554054054054054,0.734094766295124,1184
SVM,Cz,Delta+Martinez,2class,0.6627565982404692,0.6601260172818748,1023
RandomForest,Cz,Delta+Martinez,2class,0.6715542521994134,0.6706021251475798,1023
LogReg,Cz,Delta+Martinez,2class,0.6392961876832844,0.6375993755934215,1023
kNN,Cz,Delta+Martinez,2class,0.6500488758553274,0.6499013467318238,1023
NaiveBayes,Cz,Delta+Martinez,2class,0.6001955034213099,0.6001893908627987,1023
SVM,Cz,Martinez,3class,0.6402027027027027,0.7217467590180515,1184
RandomForest,Cz,Martinez,3class,0.6148648648648649,0.7026276534710271,1184
LogReg,Cz,Martinez,3class,0.6005067567567568,0.6830023515446199,1184
kNN,Cz,Martinez,3class,0.6368243243243243,0.7193705694119088,1184
NaiveBayes,Cz,Martinez,3class,0.6368243243243243,0.7192824597005781,1184
SVM,Cz,Martinez,2class,0.5943304007820137,0.5905730886997613,1023
RandomForest,Cz,Martinez,2class,0.5571847507331378,0.5564370935090666,1023
LogReg,Cz,Martinez,2class,0.5249266862170088,0.515458833619211,1023
kNN,Cz,Martinez,2class,0.5786901270772239,0.5775987354202093,1023
NaiveBayes,Cz,Martinez,2class,0.5650048875855328,0.5647237231236131,1023
SVM,Motor-2,Delta,3class,0.6782094594594594,0.7485885791745401,1184
RandomForest,Motor-2,Delta,3class,0.7179054054054054,0.7820544222894101,1184
LogReg,Motor-2,Delta,3class,0.6790540540540541,0.7507214035627717,1184
kNN,Motor-2,Delta,3class,0.6841216216216216,0.756205077228934,1184
NaiveBayes,Motor-2,Delta,3class,0.6461148648648649,0.7264408243210513,1184
SVM,Motor-2,Delta,2class,0.6500488758553274,0.64737995470861,1023
RandomForest,Motor-2,Delta,2class,0.6441837732160313,0.6437667893741916,1023
LogReg,Motor-2,Delta,2class,0.624633431085044,0.6224947145877378,1023
kNN,Motor-2,Delta,2class,0.6304985337243402,0.6298445456982043,1023
NaiveBayes,Motor-2,Delta,2class,0.5894428152492669,0.5889050480309235,1023
SVM,Motor-2,Delta+Martinez,3class,0.7010135135135135,0.7668497659110926,1184
RandomForest,Motor-2,Delta+Martinez,3class,0.7212837837837838,0.784491343649456,1184
LogReg,Motor-2,Delta+Martinez,3class,0.6841216216216216,0.754241338112306,1184
kNN,Motor-2,Delta+Martinez,3class,0.6959459459459459,0.7653849094105954,1184
NaiveBayes,Motor-2,Delta+Martinez,3class,0.6486486486486487,0.7288436247973821,1184
SVM,Motor-2,Delta+Martinez,2class,0.6774193548387096,0.6751768491221048,1023
RandomForest,Motor-2,Delta+Martinez,2class,0.6754643206256109,0.6749919617840245,1023
LogReg,Motor-2,Delta+Martinez,2class,0.6520039100684262,0.6492283153928542,1023
kNN,Motor-2,Delta+Martinez,2class,0.6480938416422287,0.6478108192883536,1023
NaiveBayes,Motor-2,Delta+Martinez,2class,0.5904203323558163,0.590406242564451,1023
SVM,Motor-2,Martinez,3class,0.6663851351351351,0.7425625627730118,1184
